wateryear,region,surfdiv,pumping,et,gwstor,model
1988,14,1065.298976,445.0822064,1660.681457,-185.9184798,cvhm
1989,14,1040.898764,517.2357882,1565.316098,-251.0746932,cvhm
1990,14,704.7535305,875.5715537,1605.256291,-513.065353,cvhm
1991,14,330.7371678,1268.768038,1605.915685,-727.8874707,cvhm
1992,14,353.2306247,1128.514447,1588.918812,-624.8455956,cvhm
1993,14,798.7874037,498.5893569,1541.807102,48.85108811,cvhm
1994,14,662.9747013,699.6465285,1642.284611,-417.4708832,cvhm
1995,14,900.2016153,500.2107857,1567.684575,28.43205859,cvhm
1996,14,924.0740802,475.8893537,1641.966647,-157.2050167,cvhm
1997,14,1132.598459,304.828615,1587.752178,15.12901689,cvhm
1998,14,860.193044,261.8607517,1561.02092,173.1345172,cvhm
1999,14,1033.207235,248.0786069,1448.868687,-67.58608872,cvhm
2000,14,865.6604744,440.21792,1494.259087,-193.0685719,cvhm
2001,14,752.37484,458.0536369,1532.762886,-242.7446223,cvhm
2002,14,874.7578324,540.7465058,1452.538304,-267.8380025,cvhm
2003,14,808.7446235,364.0107663,1500.249401,-149.2715961,cvhm
1975,15,987.1084026,1534.682362,2201.032139,-243.2350759,cvhm
1976,15,471.9562984,1888.153841,2219.548339,-564.6795935,cvhm
1977,15,232.6959872,2421.603917,2177.577035,-821.747396,cvhm
1978,15,976.1291959,1251.743036,2348.696459,595.1364728,cvhm
